# Intensity Error [0,-0.5K,0] DeltaE
#  shape: 34x70
8.095190e-02 1.841984e-01 -1.835000e+00 4.250000e+00
1.017252e-01 1.017252e-01 -1.835000e+00 4.350000e+00
7.717254e-02 7.717253e-02 -1.835000e+00 4.450000e+00
-8.796981e-02 8.796980e-02 -1.835000e+00 4.550000e+00
7.331091e-05 1.132962e-01 -1.835000e+00 4.650000e+00
-2.224649e-04 1.534742e-01 -1.835000e+00 4.750000e+00
7.964414e-02 1.384753e-01 -1.835000e+00 4.850000e+00
9.234077e-04 1.452143e-01 -1.835000e+00 4.950000e+00
8.379635e-02 8.379635e-02 -1.835000e+00 5.050000e+00
-7.374424e-02 1.288162e-01 -1.835000e+00 5.150000e+00
8.843425e-02 1.519946e-01 -1.835000e+00 5.250000e+00
7.783943e-05 1.138718e-01 -1.835000e+00 5.350000e+00
-1.723504e-01 1.736412e-01 -1.835000e+00 5.450000e+00
1.604248e-01 1.603399e-01 -1.835000e+00 5.550000e+00
-1.238221e-04 1.411183e-01 -1.835000e+00 5.650000e+00
-9.562505e-04 1.608778e-01 -1.835000e+00 5.750000e+00
-1.602410e-03 1.028543e-01 -1.835000e+00 5.850000e+00
-7.191981e-04 2.133594e-01 -1.835000e+00 5.950000e+00
7.401757e-02 2.194093e-01 -1.835000e+00 6.050000e+00
7.020386e-02 2.326002e-01 -1.835000e+00 6.150000e+00
2.570125e-01 2.589448e-01 -1.835000e+00 6.250000e+00
-2.065071e-01 3.299564e-01 -1.835000e+00 6.350000e+00
1.867128e-01 2.991810e-01 -1.835000e+00 6.450000e+00
