# Intensity Error [0.5H,0,0] DeltaE
#  shape: 34x70
6.651194e-02 8.152145e-02 1.650000e-01 5.250000e+00
-1.234478e-01 1.088818e-01 1.650000e-01 5.350000e+00
2.342026e-01 8.852346e-02 1.650000e-01 5.450000e+00
1.200144e-01 1.613492e-01 1.650000e-01 5.550000e+00
6.355910e-02 1.119693e-01 1.650000e-01 5.650000e+00
1.771993e-01 1.707457e-01 1.650000e-01 5.750000e+00
3.248807e-02 1.322501e-01 1.650000e-01 5.850000e+00
1.220056e-01 1.375210e-01 1.650000e-01 5.950000e+00
-2.443873e-01 1.441764e-01 1.650000e-01 6.050000e+00
1.495441e-01 1.509469e-01 1.650000e-01 6.150000e+00
-2.154115e-01 1.339208e-01 1.650000e-01 6.250000e+00
9.786860e-02 2.020818e-01 1.650000e-01 6.350000e+00
-4.543758e-01 3.131685e-01 1.650000e-01 6.450000e+00
-5.607964e-03 3.746125e-01 1.650000e-01 6.550000e+00
-3.865865e-01 6.757525e-01 1.650000e-01 6.650000e+00
nan nan 1.650000e-01 6.750000e+00
nan nan 1.650000e-01 6.850000e+00
nan nan 1.650000e-01 6.950000e+00
2.247401e+01 1.035550e+00 1.950000e-01 5.000000e-02
6.094091e+00 5.610076e-01 1.950000e-01 1.500000e-01
1.190411e+00 2.380826e-01 1.950000e-01 2.500000e-01
4.650741e-01 1.470694e-01 1.950000e-01 3.500000e-01
1.089450e-01 1.087417e-01 1.950000e-01 4.500000e-01
2.417203e-01 1.081007e-01 1.950000e-01 5.500000e-01
4.437885e-02 4.437885e-02 1.950000e-01 6.500000e-01
1.062393e-01 7.512254e-02 1.950000e-01 7.500000e-01
9.968597e-02 7.048905e-02 1.950000e-01 8.500000e-01
9.074352e-02 6.416550e-02 1.950000e-01 9.500000e-01
4.939751e-02 4.939751e-02 1.950000e-01 1.050000e+00
-4.836021e-02 4.836022e-02 1.950000e-01 1.150000e+00
0.000000e+00 0.000000e+00 1.950000e-01 1.250000e+00
-1.433608e-01 8.276968e-02 1.950000e-01 1.350000e+00
0.000000e+00 0.000000e+00 1.950000e-01 1.450000e+00
5.442920e-02 5.442920e-02 1.950000e-01 1.550000e+00
